TenureGroup,用户数,流失人数,流失率,平均订单数,订单数中位数,平均优惠券数,平均返现,平均App使用时长,平均满意度,平均距上次下单天数
0-3个月,1560,653,0.4185897435897436,2.3173076923076925,2.0,1.4647435897435896,155.66423717948717,2.976923076923077,3.178205128205128,3.4692307692307693
12个月以上,1896,95,0.05010548523206751,3.668776371308017,2.0,1.9994725738396624,208.85845464135022,2.9224683544303796,3.080168776371308,5.303270042194093
4-6个月,590,44,0.07457627118644068,2.9694915254237286,2.0,1.8,169.90599999999998,3.0152542372881355,2.935593220338983,4.5728813559322035
7-12个月,1584,156,0.09848484848484848,2.7474747474747474,2.0,1.595959595959596,163.3139393939394,2.8775252525252526,2.98989898989899,4.381944444444445
