data_type,missing_count,missing_percent,unique_count
int64,0,0.0,5630
int64,0,0.0,2
float64,264,4.69,37
object,0,0.0,3
int64,0,0.0,3
float64,251,4.46,35
object,0,0.0,7
object,0,0.0,2
float64,255,4.53,7
int64,0,0.0,6
object,0,0.0,6
int64,0,0.0,5
object,0,0.0,3
int64,0,0.0,15
int64,0,0.0,2
float64,265,4.71,17
float64,256,4.55,18
float64,258,4.58,17
float64,307,5.45,23
float64,0,0.0,2586
