TenureGroup,Complain,用户数,流失人数,流失率,平均订单数,样本提示
12个月以上,0,1357,43,0.03168754605747973,3.823876197494473,可观察
7-12个月,0,1178,75,0.0636672325976231,2.775042444821732,可观察
0-3个月,0,1038,308,0.29672447013487474,2.2013487475915223,可观察
12个月以上,1,539,52,0.09647495361781076,3.2782931354359928,可观察
0-3个月,1,522,345,0.6609195402298851,2.5478927203065136,可观察
4-6个月,0,453,14,0.03090507726269316,2.9514348785871967,可观察
7-12个月,1,406,81,0.19950738916256158,2.667487684729064,可观察
4-6个月,1,137,30,0.21897810218978103,3.0291970802919708,可观察
